,STATION,DAY,Entered,Exited,IMPRESSIONS
494,46 ST,14,10025.0,8323.0,18348.0
495,46 ST,15,9972.0,7815.0,17787.0
496,46 ST,16,9864.0,7795.0,17659.0
497,46 ST BLISS ST,10,9271.0,6403.0,15674.0
498,46 ST BLISS ST,11,8316.0,7612.0,15928.0
499,46 ST BLISS ST,12,13639.0,10224.0,23863.0
500,46 ST BLISS ST,13,14885.0,10547.0,25432.0
501,46 ST BLISS ST,14,15129.0,11211.0,26340.0
502,46 ST BLISS ST,15,15336.0,11603.0,26939.0
503,46 ST BLISS ST,16,15315.0,11225.0,26540.0
504,47-50 STS ROCK,10,18554.0,21105.0,39659.0
505,47-50 STS ROCK,11,18450.0,17426.0,35876.0
506,47-50 STS ROCK,12,54748.0,63098.0,117846.0
507,47-50 STS ROCK,13,61497.0,65990.0,127487.0
508,47-50 STS ROCK,14,66557.0,67054.0,133611.0
509,47-50 STS ROCK,15,62516.0,65323.0,127839.0
510,47-50 STS ROCK,16,62033.0,65744.0,127777.0
511,49 ST,10,13803.0,14040.0,27843.0
512,49 ST,11,17540.0,13715.0,31255.0
513,49 ST,12,24376.0,21725.0,46101.0
514,49 ST,13,26418.0,23621.0,50039.0
515,49 ST,14,28748.0,24388.0,53136.0
516,49 ST,15,27838.0,24534.0,52372.0
517,49 ST,16,27797.0,23642.0,51439.0
518,4AV-9 ST,10,5014.0,3864.0,8878.0
519,4AV-9 ST,11,4948.0,3957.0,8905.0
520,4AV-9 ST,12,8749.0,5867.0,14616.0
521,4AV-9 ST,13,9943.0,6659.0,16602.0
522,4AV-9 ST,14,10018.0,6792.0,16810.0
523,4AV-9 ST,15,10092.0,6677.0,16769.0
524,4AV-9 ST,16,9917.0,6654.0,16571.0
525,5 AV/53 ST,10,0.0,3.0,3.0
526,5 AV/53 ST,11,0.0,0.0,0.0
527,5 AV/53 ST,12,24298.0,24678.0,48976.0
528,5 AV/53 ST,13,26524.0,25266.0,51790.0
529,5 AV/53 ST,14,28779.0,25965.0,54744.0
